"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-01","14.32","0.00","0.0","26",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-02","12.75","0.00","0.0","34",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-03","10.29","0.62","1.4","28","    1",,,"    1",,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-04","8.28","0.57","0.0","38","    1","    1",,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-05","22.15","0.00","0.0","40",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-06","8.72","0.02","0.2","17",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-07","15.66","0.00","0.0","19","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-08","14.32","0.00","0.0","8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-09","14.32","0.01","0.2","23","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-10","11.63","0.00","0.0","22",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-11","9.62","0.00","0.0","21",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-12","9.40","0.20","0.0","35","    1",,,"    1",,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-13","10.51","0.00","0.0","27",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-14","8.72","0.00","0.0","18","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-15","9.62","0.12","0.8","26","    1",,,,,"    1","    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-16","15.66","0.00","0.0","28",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-17","10.96","0.00","0.0","16",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-18","9.84","0.15","0.0","32","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-19","15.21","0.00","0.0","42",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-20","13.42","0.00","0.0","33",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-21","6.71","0.00","0.0","27",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-22","6.93","0.00","0.0","32",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-23","10.29","0.00","0.0","31",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-24","10.29","0.71","5.1","32","    1","    1",,,,"    1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-25","14.32","0.00","0.0","33",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-26","16.33","0.10","2.3","20","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-27","22.15","0.95","22.1","18","    1","    1",,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-28","12.75","0.01","0.2","17",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-29","4.25","0.00","0.0","21",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-30","11.86","0.06","0.7","31","    1",,,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-01-31","21.92","0.05","1.3","18","    1","    1",,,,,"    1","    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-01","11.86","0.00","0.0","19",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-02","18.12","0.78","16.2","20","    1","    1",,,,,"    1","    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-03","12.97","0.00","0.0","13",,,,,,,"    1","    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-04","9.40","0.01","0.0","23",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-05","14.76","0.09","0.8","31","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-06","11.41","0.00","0.0","12",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-07","10.74","0.07","0.9","23","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-08","13.42","0.37","7.4","26","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-09","14.99","0.88","14.8","17","    1","    1",,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-10","11.18","0.05","0.7","20","    1",,,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-11","11.63","0.01","0.5","22","    1",,,,,,"    1","    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-12","5.37","0.03","1.0","21","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-13","15.43","0.00","0.0","16",,,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-14","9.62","0.23","3.2","13","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-15","20.80","0.39","13.0","19","    1","    1",,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-16","19.69","0.00","0.0","6",,,,,,,,"    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-17","7.83","0.02","0.6","15",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-18","5.37","0.01","0.0","23","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-19","14.09","0.06","2.4","25","    1",,,,,,"    1","    1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-20","18.57","0.00","0.0","11",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-21","11.18","0.17","1.1","17","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-22","5.14","0.11","0.1","33","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-23","14.54","0.00","0.0","27",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-24","9.40","0.00","0.0","9","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-25","10.74","0.07","1.9","23","    1",,,,,,"    1",
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","2015-02-26","9.17","0.02","0.2","21","    1",,,,,,"    1",
