DATE,AWND,PRCP,TAVG,incident_count,daylight_hours,daylight_trend,daylight_corrected_total,detrended,temp_trend,temp_corrected_total,TAVG_daylight_trend,all_detrended,time
2015-01-05,67.78999999999999,1.19,33.2,3.0,9.020912235392917,2.7620687094932412,4.327674880250348,4.327674880250348,2.503377784278506,4.586365805465084,2.4840893261829167,4.605654263560673,0
2015-01-12,83.67,0.23,20.714285714285715,5.0,9.157936948210038,2.8229197718929875,6.266823817850602,6.266823817850602,1.5105691937643495,7.579174395979241,1.5164007811252724,7.573342808618317,7
2015-01-19,80.52,0.27,27.0,2.0,9.338895291425956,2.903281242524077,3.1864623472195124,3.1864623472195124,2.0103812988286847,4.079362290914906,2.0081957981455356,4.081547791598053,14
2015-01-26,78.28999999999999,0.8099999999999999,29.714285714285715,11.0,9.558202577180026,3.0006730272304667,12.089070562513122,12.089070562513122,2.2262092532882836,12.863534336455306,2.2231763677562,12.86656722198739,21
2015-02-02,102.91,1.85,20.571428571428573,0.0,9.809899397981269,3.1124486232781345,0.9772949664654549,0.9772949664654549,1.4992098277401602,2.59053376200343,1.5173747923639183,2.572368797379671,28
2015-02-09,87.69,1.42,20.714285714285715,2.0,10.088105799601378,3.2359968121919733,2.853746777551616,2.853746777551616,1.5105691937643495,4.579174395979241,1.5336284427599247,4.5561151469836645,35
2015-02-16,93.72,0.71,16.714285714285715,2.0,10.387344923178,3.3688853854051057,2.7208582043384837,2.7208582043384837,1.1925069450870454,4.8972366446565445,1.228342978607671,4.8614006111359185,42
2015-02-23,76.72,0.37,21.571428571428573,0.0,10.702725571912636,3.508942219980905,0.5808013697626846,0.5808013697626846,1.5787253899094862,2.511018199834104,1.6116177484340741,2.4781258413095153,49
2015-03-02,66.67,0.27,21.0,1.0,11.029999289098178,3.6542806262933025,1.435462963450287,1.435462963450287,1.5332879258127283,3.556455663930862,1.573275233139864,3.5164683566037254,56
2015-03-09,73.16,0.28,29.714285714285715,2.0,11.365519571272923,3.8032812350684875,2.286462354675102,2.286462354675102,2.2262092532882836,3.8635343364553068,2.256649694232588,3.833093895511001,63
2015-03-16,76.49,1.1400000000000001,36.714285714285715,8.0,11.706132334648105,3.9545433548144047,8.135200234929185,8.135200234929185,2.782818188473566,9.306925401270025,2.8069066131838416,9.282836976559748,70
2015-03-23,94.86,0.28,29.142857142857142,2.0,12.049022589160156,4.106816881571767,1.9829267081718225,1.9829267081718225,2.180771789191526,3.9089718005520644,2.224904903478023,3.8648386862655664,77
